SITE_NAME,SITE_ID,PROGRAM_NAME,BASE_EVENT_ID,TYPE,PUBLIC_REG_OPEN_DATE
"Baltimore Adult Soccer League",2033,"Spring 2016 Outdoor Coed - Div 1/Div2 @ Banner Field",74769,LEAGUE,"2015-12-02 00:00:00"
"Bay Area Disc Association",2502,"Dark Meat - Alameda Ultimate Program",74088,CLUBTEAM,"2015-11-25 00:00:00"
"Bay Area Disc Association",2502,"Eric Arons SF Recreation League - Winter 2015/16",73661,LEAGUE,"2015-11-20 00:00:00"
"Bay Area Disc Association",2502,"Girls Program: Nightlock Clinic",74155,CAMP,"2015-11-23 00:00:00"
"Bay Area Disc Association",2502,"Junior Meat - Alameda Ultimate Program",73803,CLUBTEAM,"2015-11-25 00:00:00"
"Bay Area Disc Association",2502,"Sandy Sombrero 2016",73148,TOURNAMENT,"2015-11-16 00:00:00"
"Bay Area Disc Association",2502,"Silicon Valley Corporate League",73168,LEAGUE,"2015-11-23 00:00:00"
"Big Sun Adult Soccer League",4489,"2016 6v6 Winter Soccer Fix Tournament",73119,TOURNAMENT,"2015-12-07 00:00:00"
"Broken Arrow Volleyball Club",8492,"BAVC Spring League - Includes Uniform",73327,LEAGUE,"2015-11-21 00:00:00"
"Camden Wyoming Little League",9124," Senior Baseball",73337,LEAGUE,"2015-11-18 00:00:00"
"Camden Wyoming Little League",9124,"AA Baseball",71696,LEAGUE,"2015-11-18 00:00:00"
"Camden Wyoming Little League",9124,"AAA (10 year olds)",71697,LEAGUE,"2015-11-18 00:00:00"
"Camden Wyoming Little League",9124,"AAA (11 year olds)",71698,LEAGUE,"2015-11-18 00:00:00"
"Camden Wyoming Little League",9124,"Big League Baseball",73460,LEAGUE,"2015-11-18 00:00:00"
"Camden Wyoming Little League",9124,"Majors Baseball",71699,LEAGUE,"2015-11-19 00:00:00"
"Camden Wyoming Little League",9124,Peewee,71695,LEAGUE,"2015-11-18 00:00:00"
"Camden Wyoming Little League",9124,Tball,71336,LEAGUE,"2015-11-18 00:00:00"
"Capital Affiliate League",2980,"2016 Winter Novice Division",73842,LEAGUE,"2015-11-22 00:00:00"
"Capital Affiliate League",2980,"2016 Winter Open Division",73844,LEAGUE,"2015-11-22 00:00:00"
"Capital Affiliate League",2980,"2016 Winter Upper Division",73843,LEAGUE,"2015-11-22 00:00:00"
"Capital City Volleyball ",3799,"A - Winter 2016",73432,LEAGUE,"2015-11-22 00:00:00"
